"","Species_ID","Bishop_DB_Match","TSN","Taxonomic_Order","Taxonomic_Family","Genus","Species","Subdivision","Scientific_name","taxonRank","Authority","Synonym","Authority_Source","Citation","Common_name","Code","Life_form","Life_cycle","Omit_in_NPSpecies","Complete","Update_date","Update_by","Update_comments","TSN_park","Park","Park_common_name","Life_form_park","Nativeness","Distribution","Conservation_status","Update_date_park","Update_by_park","Update_comments_park","pacn_name","pacn_auth","bish_id","bish_name","bish_name_auth","bish_name_status","bish_accepted_name_id","bish_accepted_status","bish_IPNIID","bish_parentNameUsageID","bish_scientificName","bish_scientificNameAuthorship","bish_namePublishedIn","bish_taxonRank","bish_kingdom","bish_phylum","bish_class","bish_order","bish_family","bish_genus","bish_subgenus","bish_specificEpithet","bish_infraspecificEpithet","bish_Federal Status","bish_IUCNClassification","bish_RedlistCriteria","bish_vernacularName","pacn_new_bish_db_match"
"11","20100315154438-106133759.021759","Yes",897631,"Polypodiales","Dryopteridaceae","Dryopteris","unidentata","var. paleacea","Dryopteris unidentata var. paleacea","varietas","(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.",NA,"2012 Bishop Museum Technical Report 60","Palmer 2003","akole","DRYUNI1","Fern","Perennial",FALSE,FALSE,2013-12-12 15:46:39,"Kelly Kozar","Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",897631,"HAVO","‘akole",NA,"Native","end",NA,NA,NA,NA,"Dryopteris unidentata var. paleacea","(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.","D7A2E578-9066-4107-B147-FE4D20DE3399","Dryopteris unidentata var. paleacea","(Hillebr.) Herat ex Fraser-Jenk.","Accepted","D7A2E578-9066-4107-B147-FE4D20DE3399","Accepted","17564060-1","4F6EBA62-4E96-43BE-B226-2755EC739B54","Dryopteris unidentata var. paleacea","(Hillebr.) Herat ex Fraser-Jenk.","Thaiszia 4(1): 31 (1994)","variety","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","unidentata","paleacea","NULL","NULL","NULL","‘akole","Yes"
"12","20100315154438-106646120.548248","No",504422,"Caryophyllales","Nyctaginaceae","Pisonia","umbellifera",NA,"Pisonia umbellifera","species","(G. Forst.) Seem.",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","papala, papala kepau","PISUMB","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",504422,"HALE","papala","Tree","Native","ind",NA,NA,NA,NA,"Pisonia umbellifera","(G. Forst.) Seem.","87996E77-7B80-4B27-8FAE-E158030DEBF6","Pisonia umbellifera","(J.R.Forst. & G.Forst.) Seem.","Homotypic_Synonym","567763EB-8BE2-472E-B298-98C47114FEC3","Accepted","604437-1","B13150E9-8D5E-4FD2-9677-6398FFB870B8","Ceodes umbellifera","J.R.Forst. & G.Forst.","Char. Gen. Pl.: 142 (1776)","species","Viridiplantae","Magnoliophyta","Eudicot-CoreEudicot","Caryophyllales","Nyctaginaceae","Ceodes","NULL","umbellifera","NULL","NULL","Least Concern","NULL","pāpala [papala], pāpala kēpau [papala kepau]","Yes"
"13","20100315154438-106646120.548248","No",504422,"Caryophyllales","Nyctaginaceae","Pisonia","umbellifera",NA,"Pisonia umbellifera","species","(G. Forst.) Seem.",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","papala, papala kepau","PISUMB","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",504422,"HAVO","papala","Tree","Native","ind",NA,NA,NA,NA,"Pisonia umbellifera","(G. Forst.) Seem.","87996E77-7B80-4B27-8FAE-E158030DEBF6","Pisonia umbellifera","(J.R.Forst. & G.Forst.) Seem.","Homotypic_Synonym","567763EB-8BE2-472E-B298-98C47114FEC3","Accepted","604437-1","B13150E9-8D5E-4FD2-9677-6398FFB870B8","Ceodes umbellifera","J.R.Forst. & G.Forst.","Char. Gen. Pl.: 142 (1776)","species","Viridiplantae","Magnoliophyta","Eudicot-CoreEudicot","Caryophyllales","Nyctaginaceae","Ceodes","NULL","umbellifera","NULL","NULL","Least Concern","NULL","pāpala [papala], pāpala kēpau [papala kepau]","Yes"
"14","20100315154438-106646120.548248","No",504422,"Caryophyllales","Nyctaginaceae","Pisonia","umbellifera",NA,"Pisonia umbellifera","species","(G. Forst.) Seem.",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","papala, papala kepau","PISUMB","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",504422,"KALA","papala","Tree","Native","ind",NA,NA,NA,NA,"Pisonia umbellifera","(G. Forst.) Seem.","87996E77-7B80-4B27-8FAE-E158030DEBF6","Pisonia umbellifera","(J.R.Forst. & G.Forst.) Seem.","Homotypic_Synonym","567763EB-8BE2-472E-B298-98C47114FEC3","Accepted","604437-1","B13150E9-8D5E-4FD2-9677-6398FFB870B8","Ceodes umbellifera","J.R.Forst. & G.Forst.","Char. Gen. Pl.: 142 (1776)","species","Viridiplantae","Magnoliophyta","Eudicot-CoreEudicot","Caryophyllales","Nyctaginaceae","Ceodes","NULL","umbellifera","NULL","NULL","Least Concern","NULL","pāpala [papala], pāpala kēpau [papala kepau]","Yes"
"15","20100315154438-107375323.77243","Yes",500501,"Apiales","Araliaceae","Polyscias","spp.",NA,"Polyscias spp.","genus",NA,NA,NA,NA,"panax","POLSP.1","Tree","Perennial",FALSE,TRUE,2013-11-07,"Kelly Kozar","Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",500501,"HALE","vī vao","Tree","Native","end",NA,NA,NA,NA,"Polyscias","","8E142184-C54B-4A59-9C43-10CEE1BE4850","Polyscias","J.R.Forst. & G.Forst.","Accepted","8E142184-C54B-4A59-9C43-10CEE1BE4850","Accepted","3081-1","5FBE55BD-F853-4CE5-9E2F-76622596C20C","Polyscias","J.R.Forst. & G.Forst.","Char. Gen. Pl.: 63 (1776)","genus","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Apiales","Araliaceae","Polyscias","NULL","NULL","NULL","NULL","NULL","NULL","panax","Yes"
"16","20100315154438-107375323.77243","Yes",500501,"Apiales","Araliaceae","Polyscias","spp.",NA,"Polyscias spp.","genus",NA,NA,NA,NA,"panax","POLSP.1","Tree","Perennial",FALSE,TRUE,2013-11-07,"Kelly Kozar","Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",500501,"PUHO","vī vao","Tree","Native","end",NA,NA,NA,NA,"Polyscias","","8E142184-C54B-4A59-9C43-10CEE1BE4850","Polyscias","J.R.Forst. & G.Forst.","Accepted","8E142184-C54B-4A59-9C43-10CEE1BE4850","Accepted","3081-1","5FBE55BD-F853-4CE5-9E2F-76622596C20C","Polyscias","J.R.Forst. & G.Forst.","Char. Gen. Pl.: 63 (1776)","genus","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Apiales","Araliaceae","Polyscias","NULL","NULL","NULL","NULL","NULL","NULL","panax","Yes"
"17","20100315154438-109438002.109528","Yes",17857,"Polypodiales","Pteridaceae","Coniogramme","pilosa",NA,"Coniogramme pilosa","species","(Brack.) Hieron.",NA,"2012 Bishop Museum Technical Report 60","Palmer 2003","loulu","CONPIL","Fern","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",17857,"HALE","lo‘ulu","Fern","Native","end",NA,NA,NA,NA,"Coniogramme pilosa","(Brack.) Hieron.","E6D51DC0-0D88-4B78-9E05-0F42173D5274","Coniogramme pilosa","(Brack.) Hieron.","Accepted","E6D51DC0-0D88-4B78-9E05-0F42173D5274","Accepted","17281520-1","C234A08F-C26E-4311-B33E-F8892CDD10EA","Coniogramme pilosa","(Brack.) Hieron.","Hedwigia 57. 312 (1916)","species","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Pteridaceae","Coniogramme","NULL","pilosa","NULL","NULL","NULL","NULL","lo‘ulu, loʻulu [loulu]","Yes"
"18","20100315154438-109438002.109528","Yes",17857,"Polypodiales","Pteridaceae","Coniogramme","pilosa",NA,"Coniogramme pilosa","species","(Brack.) Hieron.",NA,"2012 Bishop Museum Technical Report 60","Palmer 2003","loulu","CONPIL","Fern","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",17857,"KALA","lo‘ulu","Fern","Native","end",NA,NA,NA,NA,"Coniogramme pilosa","(Brack.) Hieron.","E6D51DC0-0D88-4B78-9E05-0F42173D5274","Coniogramme pilosa","(Brack.) Hieron.","Accepted","E6D51DC0-0D88-4B78-9E05-0F42173D5274","Accepted","17281520-1","C234A08F-C26E-4311-B33E-F8892CDD10EA","Coniogramme pilosa","(Brack.) Hieron.","Hedwigia 57. 312 (1916)","species","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Pteridaceae","Coniogramme","NULL","pilosa","NULL","NULL","NULL","NULL","lo‘ulu, loʻulu [loulu]","Yes"
"19","20100315154438-109438002.109528","Yes",17857,"Polypodiales","Pteridaceae","Coniogramme","pilosa",NA,"Coniogramme pilosa","species","(Brack.) Hieron.",NA,"2012 Bishop Museum Technical Report 60","Palmer 2003","loulu","CONPIL","Fern","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",17857,"HAVO","lo‘ulu","Fern","Native","end",NA,NA,NA,NA,"Coniogramme pilosa","(Brack.) Hieron.","E6D51DC0-0D88-4B78-9E05-0F42173D5274","Coniogramme pilosa","(Brack.) Hieron.","Accepted","E6D51DC0-0D88-4B78-9E05-0F42173D5274","Accepted","17281520-1","C234A08F-C26E-4311-B33E-F8892CDD10EA","Coniogramme pilosa","(Brack.) Hieron.","Hedwigia 57. 312 (1916)","species","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Pteridaceae","Coniogramme","NULL","pilosa","NULL","NULL","NULL","NULL","lo‘ulu, loʻulu [loulu]","Yes"
"20","20100315154438-109488487.243652","Yes",36072,"Asterales","Asteraceae","Pluchea","indica",NA,"Pluchea indica","species","(L.) Less.",NA,"Wagner et al. 2012","Oppenheimer & Bartlett, 2002","Indian fleabane","PLUIND1","Shrub","Perennial",FALSE,TRUE,2013-12-12 15:30:01,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",36072,"KALA","Indian fleabane","Shrub","Non-Native","nat",NA,NA,NA,NA,"Pluchea indica","(L.) Less.","4D3CC37F-C40E-474C-9F4D-37937B891225","Pluchea indica","(L.) Less.","Accepted","4D3CC37F-C40E-474C-9F4D-37937B891225","Accepted","238839-1","C53D9128-9194-4840-8F06-9D41FD1591DB","Pluchea indica","(L.) Less.","Linnaea 6: 150 (1831)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Asterales","Asteraceae","Pluchea","NULL","indica","NULL","NULL","NULL","NULL","Indian fleabane, Indian pluchea, liua (Ni‘ihau via St. John), marsh fleabane","Yes"
"21","20100315154438-109488487.243652","Yes",36072,"Asterales","Asteraceae","Pluchea","indica",NA,"Pluchea indica","species","(L.) Less.",NA,"Wagner et al. 2012","Oppenheimer & Bartlett, 2002","Indian fleabane","PLUIND1","Shrub","Perennial",FALSE,TRUE,2013-12-12 15:30:01,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",36072,"KAHO","Indian fleabane","Shrub","Non-Native","nat",NA,NA,NA,NA,"Pluchea indica","(L.) Less.","4D3CC37F-C40E-474C-9F4D-37937B891225","Pluchea indica","(L.) Less.","Accepted","4D3CC37F-C40E-474C-9F4D-37937B891225","Accepted","238839-1","C53D9128-9194-4840-8F06-9D41FD1591DB","Pluchea indica","(L.) Less.","Linnaea 6: 150 (1831)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Asterales","Asteraceae","Pluchea","NULL","indica","NULL","NULL","NULL","NULL","Indian fleabane, Indian pluchea, liua (Ni‘ihau via St. John), marsh fleabane","Yes"
"22","20100315154438-109563529.491425","Yes",17561,"Polypodiales","Dryopteridaceae","Dryopteris","unidentata",NA,"Dryopteris unidentata","species","(Hook. & Arn.) C. Chr.",NA,"Wagner et al. 2012",NA,"'akole","DRYUNI3","Fern","Perennial",TRUE,TRUE,NA,NA,NA,17561,"HALE","‘akole","Fern","Native","end",NA,NA,NA,NA,"Dryopteris unidentata","(Hook. & Arn.) C. Chr.","4F6EBA62-4E96-43BE-B226-2755EC739B54","Dryopteris unidentata","(Hook. & Arn.) C.Chr.","Accepted","4F6EBA62-4E96-43BE-B226-2755EC739B54","Accepted","17101360-1","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Dryopteris unidentata","(Hook. & Arn.) C.Chr.","Index Filic.: 299 (1905)","species","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","unidentata","NULL","NULL","NULL","NULL","NULL","Yes"
"23","20100315154438-109563529.491425","Yes",17561,"Polypodiales","Dryopteridaceae","Dryopteris","unidentata",NA,"Dryopteris unidentata","species","(Hook. & Arn.) C. Chr.",NA,"Wagner et al. 2012",NA,"'akole","DRYUNI3","Fern","Perennial",TRUE,TRUE,NA,NA,NA,17561,"KALA","‘akole","Fern","Native","end",NA,NA,NA,NA,"Dryopteris unidentata","(Hook. & Arn.) C. Chr.","4F6EBA62-4E96-43BE-B226-2755EC739B54","Dryopteris unidentata","(Hook. & Arn.) C.Chr.","Accepted","4F6EBA62-4E96-43BE-B226-2755EC739B54","Accepted","17101360-1","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Dryopteris unidentata","(Hook. & Arn.) C.Chr.","Index Filic.: 299 (1905)","species","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","unidentata","NULL","NULL","NULL","NULL","NULL","Yes"
"24","20100315154438-109563529.491425","Yes",17561,"Polypodiales","Dryopteridaceae","Dryopteris","unidentata",NA,"Dryopteris unidentata","species","(Hook. & Arn.) C. Chr.",NA,"Wagner et al. 2012",NA,"'akole","DRYUNI3","Fern","Perennial",TRUE,TRUE,NA,NA,NA,17561,"HAVO","‘akole","Fern","Native","end",NA,NA,NA,NA,"Dryopteris unidentata","(Hook. & Arn.) C. Chr.","4F6EBA62-4E96-43BE-B226-2755EC739B54","Dryopteris unidentata","(Hook. & Arn.) C.Chr.","Accepted","4F6EBA62-4E96-43BE-B226-2755EC739B54","Accepted","17101360-1","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Dryopteris unidentata","(Hook. & Arn.) C.Chr.","Index Filic.: 299 (1905)","species","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","unidentata","NULL","NULL","NULL","NULL","NULL","Yes"
